title,building_status,location,price(L),Price (Rs),rate_persqft,area_insqft
3 BHK Apartment,Ready to move,BTM Layout,140,14000000,7588,1845
1 BHK Apartment,Ready to move,BTM Layout,45,4500000,3750,1200
3 BHK Apartment,Ready to move,BTM Layout,110,11000000,7586,1450
2 BHK Apartment,Ready to move,BTM Layout,70,7000000,6216,1126
3 BHK Apartment,Ready to move,BTM Layout,120,12000000,6451,1860
5 BHK Apartment,Ready to move,BTM Layout,650,65000000,40625,1600
2 BHK Apartment,Ready to move,BTM Layout,75,7500000,7142,1050
3 BHK Apartment,Ready to move,BTM Layout,270,27000000,10800,2500
3 BHK Apartment,Ready to move,BTM Layout,1470,147000000,95145,1545
2 BHK Apartment,Ready to move,BTM Layout,48,4800000,4571,1050
3 BHK Apartment,Ready to move,BTM Layout,80,8000000,5925,1350
5 BHK Apartment,Ready to move,BTM Layout,150,15000000,4010,3740
3 BHK Apartment,Under Construction,Sarjapur,45.28,4528000,3588,1262
3 BHK Villa,Ready to move,Sarjapur,124,12400000,5700,2192
2 BHK Apartment,Ready to move,Sarjapur,46.42,4642000,3599,1290
4 BHK Villa,Ready to move,Sarjapur,190,19000000,6585,2885
3 BHK Villa,Under Construction,Sarjapur,77,7700000,4873,1580
3 BHK Villa,Ready to move,Sarjapur,69,6900000,3833,1800
3 BHK Apartment,Ready to move,Sarjapur,505,50500000,20679,2442
3 BHK Apartment,Under Construction,Sarjapur,131,13100000,7261,1804
3 BHK Apartment,Ready to move,Sarjapur,55.26,5526000,3600,1535
2 BHK Apartment,Ready to move,Sarjapur,35.1,3510000,3600,975
2 BHK Apartment,Under Construction,Sarjapur,47.39,4739000,3700,1281
3 BHK Apartment,Ready to move,Sarjapur,45.44,4544000,3300,1377
4 BHK Villa,Ready to move,Sarjapur,205,20500000,7105,2885
4 BHK Villa,Under Construction,Sarjapur,160,16000000,5333,3000
2 BHK Apartment,Under Construction,Sarjapur,52.4,5240000,4699,1115
3 BHK Apartment,Ready to move,Whitefield,110,11000000,6361,1730
3 BHK Apartment,Under Construction,Whitefield,70.74,7074000,4999,1415
2 BHK Apartment,Under Construction,Whitefield,80.79,8079000,6336,1275
3 BHK Apartment,Under Construction,Whitefield,69.74,6974000,5083,1372
2 BHK Apartment,Under Construction,Whitefield,67.43,6743000,5301,1272
1 BHK Apartment,Under Construction,Whitefield,59.7,5970000,7107,840
3 BHK Apartment,Under Construction,Whitefield,126,12600000,6890,1835
4 BHK Villa,Ready to move,Whitefield,225,22500000,6918,3252
3 BHK Apartment,Under Construction,Whitefield,125,12500000,10438,1207
4 BHK Villa,Under Construction,Whitefield,263,26300000,7377,3565
3 BHK Apartment,Ready to move,Whitefield,86.99,8699000,5612,1550
2 BHK Apartment,Ready to move,Whitefield,42,4200000,3943,1065
3 BHK Apartment,Ready to move,Whitefield,167,16700000,8743,1910
3 BHK Apartment,Under Construction,Whitefield,149,14900000,8143,1835
3 BHK Apartment,Under Construction,Whitefield,86.96,8696000,5665,1535
1 BHK Apartment,Under Construction,Whitefield,43.26,4326000,5150,840
3 BHK Apartment,Ready to move,Whitefield,65.2,6520000,5000,1304
2 BHK Apartment,Ready to move,Whitefield,75.46,7546000,5900,1279
3 BHK Apartment,Under Construction,Marathahalli,129,12900000,7543,1715
3 BHK Apartment,Ready to move,Marathahalli,230,23000000,9090,2530
3 BHK Apartment,Under Construction,Marathahalli,117,11700000,7463,1572
2 BHK Apartment,Under Construction,Marathahalli,73.96,7396000,7294,1014
2 BHK Apartment,Under Construction,Marathahalli,77.02,7702000,6732,1144
3 BHK Apartment,Ready to move,Marathahalli,115,11500000,7301,1575
1 BHK Independent House,Ready to move,Marathahalli,55.44,5544000,4200,1320
1 BHK Apartment,Ready to move,Marathahalli,15,1500000,2727,550
1 BHK Apartment,Ready to move,Marathahalli,57,5700000,5621,1014
3 BHK Apartment,Under Construction,Marathahalli,123,12300000,6260,1970
3 BHK Apartment,Under Construction,Marathahalli,96.13,9613000,5990,1605
1 BHK Apartment,Under Construction,Marathahalli,87.88,8788000,6060,1450
2 BHK Apartment,Ready to move,Marathahalli,60,6000000,5988,1002
3 BHK Apartment,Ready to move,Marathahalli,75,7500000,5938,1263
3 BHK Apartment,Ready to move,Marathahalli,76,7600000,4977,1527
2 BHK Apartment,Under Construction,Marathahalli,103,10300000,7651,1355
3 BHK Apartment,Under Construction,Bellandur,133,13300000,7670,1735
3 BHK Apartment,Under Construction,Bellandur,125,12500000,6190,2032
2 BHK Apartment,Ready to move,Bellandur,120,12000000,7339,1635
3 BHK Apartment,Under Construction,Bellandur,134,13400000,7089,1890
3 BHK Apartment,Ready to move,Bellandur,65,6500000,4710,1380
3 BHK Apartment,Under Construction,Bellandur,137,13700000,7154,1915
3 BHK Apartment,Under Construction,Bellandur,128,12800000,6400,2004
4 BHK Apartment,Ready to move,Bellandur,280,28000000,7786,3596
2 BHK Apartment,Under Construction,Bellandur,48.84,4884000,4400,1110
3 BHK Apartment,Under Construction,Bellandur,121,12100000,6550,1850
3 BHK Apartment,Ready to move,Bellandur,230,23000000,8394,2740
2 BHK Apartment,Under Construction,Bellandur,154,15400000,7315,2105
3 BHK Apartment,Ready to move,Bellandur,150,15000000,8333,1800
2 BHK Apartment,Ready to move,Bellandur,79.82,7982000,5934,1345
5 BHK Apartment,Ready to move,Bellandur,330,33000000,8354,3950
2 BHK Apartment,Ready to move,Bellandur,140,14000000,8403,1666
2 BHK Apartment,Ready to move,Bellandur,113,11300000,8357,1352
2 BHK Apartment,Ready to move,Yelahanka,46.37,4637000,4050,1145
2 BHK Apartment,Under Construction,Yelahanka,56.5,5650000,5330,1060
1 BHK Apartment,Under Construction,Yelahanka,36.52,3652000,5500,664
3 BHK Apartment,Ready to move,Yelahanka,136,13600000,5110,2661
3 BHK Apartment,Under Construction,Yelahanka,84.53,8453000,5500,1537
2 BHK Apartment,Under Construction,Yelahanka,100,10000000,7552,1324
3 BHK Apartment,Ready to move,Yelahanka,99,9900000,6407,1545
3 BHK Apartment,Ready to move,Yelahanka,64.83,6483000,4750,1365
2 BHK Apartment,Ready to move,Yelahanka,30,3000000,4464,672
3 BHK Apartment,Ready to move,Yelahanka,110,11000000,5898,1865
3 BHK Apartment,Under Construction,Yelahanka,133,13300000,6393,2088
2 BHK Apartment,Under Construction,Yelahanka,63.69,6369000,6705,950
3 BHK Apartment,Under Construction,Yelahanka,58,5800000,5178,1120
2 BHK Apartment,Ready to move,Yelahanka,82.71,8271000,5402,1531
3 BHK Villa,Under Construction,Yelahanka,61.63,6163000,5814,1060
2 BHK Apartment,Under Construction,Yelahanka,42.47,4247000,4140,1026
2 BHK Apartment,Under Construction,Yelahanka,60,6000000,4363,1375
3 BHK Villa,Under Construction,Yelahanka,197,19700000,7464,2639
3 BHK Apartment,Under Construction,Hebbal,128,12800000,7609,1682
2 BHK Apartment,Under Construction,Hebbal,101,10100000,7600,1339
2 BHK Apartment,Ready to move,Hebbal,142,14200000,8387,1693
4 BHK Apartment,Ready to move,Hebbal,382,38200000,10064,3800
2 BHK Apartment,Ready to move,Hebbal,87.91,8791000,6814,1290
4 BHK Apartment,Under Construction,Hebbal,382,38200000,10064,3800
2 BHK Apartment,Ready to move,Hebbal,69.71,6971000,5993,1163
1 BHK Apartment,Ready to move,Hebbal,55,5500000,4400,1250
1 BHK Apartment,Ready to move,Hebbal,88,8800000,6929,1270
3 BHK Apartment,Ready to move,Hebbal,220,22000000,8403,2618
2 BHK Apartment,Ready to move,Hebbal,39.36,3936000,4100,960
2 BHK Apartment,Under Construction,Hebbal,139,13900000,8210,1693
3 BHK Apartment,Ready to move,Hebbal,224,22400000,10205,2195
3 BHK Apartment,Under Construction,Hebbal,135,13500000,8026,1682
3 BHK Apartment,Ready to move,Hebbal,90,9000000,6081,1480
2 BHK Apartment,Ready to move,Hebbal,102,10200000,7792,1309
3 BHK Apartment,Ready to move,Hebbal,1150,115000000,27710,4150
1 BHK Apartment,Ready to move,Electronic City,34.33,3433000,5202,660
3 BHK Apartment,Under Construction,Electronic City,81.66,8166000,5935,1376
3 BHK Apartment,Under Construction,Electronic City,90.32,9032000,6148,1469
3 BHK Apartment,Under Construction,Electronic City,90.41,9041000,6155,1469
3 BHK Apartment,Ready to move,Electronic City,57.8,5780000,4250,1360
2 BHK Apartment,Under Construction,Electronic City,65.82,6582000,7855,838
2 BHK Apartment,Under Construction,Electronic City,65.82,6582000,8396,784
3 BHK Apartment,Ready to move,Electronic City,81,8100000,6352,1275
2 BHK Apartment,Under Construction,Electronic City,55,5500000,5549,991
1 BHK Villa,Under Construction,Electronic City,53.57,5357000,10224,525
3 BHK Apartment,Under Construction,Electronic City,81,8100000,5514,1469
3 BHK Independent House,Ready to move,Electronic City,180,18000000,9292,1937
1 BHK Apartment,Ready to move,Electronic City,30.79,3079000,4665,660
1 BHK Apartment,Under Construction,Electronic City,33.5,3350000,5421,618
1 BHK Apartment,Ready to move,Electronic City,16.22,1622000,2750,590
2 BHK Apartment,Under Construction,Electronic City,69.39,6939000,6034,1150
2 BHK Apartment,Ready to move,Electronic City,28,2800000,3553,788
3 BHK Apartment,Ready to move,Electronic City,82.18,8218000,5460,1505
2 BHK Apartment,Under Construction,Electronic City,72.82,7282000,5905,1233
1 BHK Apartment,Under Construction,Electronic City,38.21,3821000,6113,625
4 BHK Apartment,Ready to move,Electronic City,223,22300000,6872,3245
4 BHK Apartment,Ready to move,Electronic City,120,12000000,6568,1827
3 BHK Apartment,Ready to move,Electronic City,104,10400000,6480,1605
2 BHK Apartment,Under Construction,Electronic City,72.87,7287000,5905,1234
1 RK Studio Apartment,Ready to move,Electronic City,16,1600000,3555,450
2 BHK Apartment,Ready to move,Electronic City,25.82,2582000,2500,1033
1 BHK Apartment,Ready to move,Electronic City,51.98,5198000,4998,1040
2 BHK Apartment,Under Construction,Electronic City,54,5400000,3938,1371
2 BHK Apartment,Ready to move,Electronic City,46,4600000,3700,1243
2 BHK Apartment,Ready to move,Electronic City,81,8100000,5510,1470
2 BHK Apartment,Ready to move,Electronic City,61,6100000,5674,1075
