location,Price/sqft 2018,Conversion factor for 2019,Price/sqft 2019
Whitefield,"6,857.33",0.05,7219
BTM Layout,"16,640.32",0.04,17233
Whitefield,"8,458.65",0.05,8905
Whitefield,"6,785.10",0.05,7143
Whitefield,"7,572.66",0.05,7972
Electronic City,"4,734.69",0.06,5032
Whitefield,"4,984.80",0.05,5248
BTM Layout,"9,183.67",0.04,9511
Whitefield,"5,975.01",0.05,6290
Whitefield,"4,568.28",0.05,4809
Whitefield,"5,714.29",0.05,6016
Whitefield,"8,067.29",0.05,8493
Whitefield,"7,781.01",0.05,8191
Whitefield,"5,640.53",0.05,5938
Whitefield,"8,571.43",0.05,9023
Whitefield,"6,440.28",0.05,6780
Whitefield,"6,241.68",0.05,6571
Whitefield,"5,714.29",0.05,6016
Whitefield,"6,892.23",0.05,7256
Whitefield,"7,115.28",0.05,7490
Whitefield,"8,333.33",0.05,8773
Whitefield,"7,881.77",0.05,8297
Whitefield,"5,194.81",0.05,5469
Electronic City,"6,084.66",0.06,6467
Whitefield,"8,811.09",0.05,9276
Electronic City,"4,125.54",0.06,4385
Whitefield,"6,364.92",0.05,6700
Whitefield,"9,663.32",0.05,10173
Whitefield,"8,753.50",0.05,9215
Whitefield,"9,753.99",0.05,10268
Whitefield,"6,978.65",0.05,7347
Whitefield,"4,155.84",0.05,4375
Whitefield,"5,405.41",0.05,5690
Whitefield,"6,079.03",0.05,6399
Whitefield,"12,373.45",0.05,13026
Whitefield,"9,466.44",0.05,9965
Whitefield,"11,811.02",0.05,12434
Whitefield,"7,550.24",0.05,7948
Whitefield,"9,523.81",0.05,10026
BTM Layout,"8,333.33",0.04,8630
Whitefield,"8,915.46",0.05,9385
HSR Layout,"15,016.23",0.08,16206
Whitefield,"5,712.79",0.05,6014
Electronic City,"4,000.32",0.06,4252
Whitefield,"10,295.13",0.05,10838
Whitefield,"10,631.23",0.05,11192
Whitefield,"7,453.42",0.05,7846
Electronic City,"4,428.29",0.06,4707
Whitefield,"5,849.27",0.05,6158
Electronic City,"4,143.49",0.06,4404
Whitefield,"9,408.11",0.05,9904
Whitefield,"4,723.50",0.05,4973
Whitefield,"6,003.26",0.05,6320
Whitefield,"9,326.24",0.05,9818
Electronic City,"4,260.65",0.06,4528
Whitefield,"11,282.47",0.05,11877
Whitefield,"10,322.05",0.05,10866
Whitefield,"5,702.49",0.05,6003
Whitefield,"6,303.72",0.05,6636
Whitefield,"6,373.63",0.05,6710
Electronic City,"4,126.50",0.06,4386
Whitefield,"5,000.76",0.05,5264
Yelahanka,"6,696.43",0.02,6856
Yelahanka,"8,403.36",0.02,8603
Yelahanka,"10,550.11",0.02,10801
Yelahanka,"5,426.79",0.02,5556
Yelahanka,"5,878.31",0.02,6018
Yelahanka,"6,211.18",0.02,6359
Electronic City,"4,125.51",0.06,4385
Yelahanka,"5,714.29",0.02,5850
Yelahanka,"6,084.70",0.02,6230
Yelahanka,"5,428.57",0.02,5558
Yelahanka,"5,306.12",0.02,5432
Yelahanka,"7,959.78",0.02,8149
Yelahanka,"4,851.75",0.02,4967
Yelahanka,"9,261.40",0.02,9482
Yelahanka,"9,234.11",0.02,9454
Yelahanka,"7,631.26",0.02,7813
Yelahanka,"6,429.06",0.02,6582
Yelahanka,"7,015.31",0.02,7182
Yelahanka,"5,850.26",0.02,5989
Yelahanka,"8,265.54",0.02,8462
Yelahanka,"6,843.85",0.02,7007
Yelahanka,"8,408.57",0.02,8609
Yelahanka,"5,428.78",0.02,5558
Yelahanka,"13,231.42",0.02,13546
Yelahanka,"11,153.45",0.02,11419
Yelahanka,"6,420.55",0.02,6573
Yelahanka,"6,454.15",0.02,6608
Yelahanka,"5,714.29",0.02,5850
Electronic City,"7,416.70",0.06,7883
Yelahanka,"6,213.66",0.02,6362
Electronic City,"5,789.80",0.06,6154
Electronic City,"7,115.49",0.06,7563
Yelahanka,"5,478.20",0.02,5609
Hebbal,"13,205.28",0.04,13790
Yelahanka,"5,426.09",0.02,5555
Yelahanka,"7,142.86",0.02,7313
Yelahanka,"8,219.18",0.02,8415
Yelahanka,"8,555.39",0.02,8759
Yelahanka,"8,654.69",0.02,8861
Yelahanka,"10,204.08",0.02,10447
Yelahanka,"6,038.29",0.02,6182
Yelahanka,"5,084.75",0.02,5206
Yelahanka,"5,746.11",0.02,5883
Yelahanka,"7,494.15",0.02,7672
Electronic City,"4,125.08",0.06,4384
Yelahanka,"5,708.72",0.02,5845
Yelahanka,"7,185.23",0.02,7356
Electronic City,"4,726.10",0.06,5023
Yelahanka,"6,428.57",0.02,6582
Electronic City,"4,126.53",0.06,4386
Yelahanka,"5,429.47",0.02,5559
Yelahanka,"9,150.61",0.02,9368
Yelahanka,"6,772.95",0.02,6934
BTM Layout,"6,103.90",0.04,6321
Yelahanka,"6,842.46",0.02,7005
Yelahanka,"8,848.75",0.02,9059
Yelahanka,"6,658.60",0.02,6817
Yelahanka,"10,370.75",0.02,10618
Yelahanka,"10,644.26",0.02,10898
Yelahanka,"8,773.90",0.02,8983
Electronic City,"4,325.73",0.06,4598
Yelahanka,"8,218.37",0.02,8414
Yelahanka,"6,624.22",0.02,6782
Electronic City,"4,224.27",0.06,4490
Yelahanka,"9,293.28",0.02,9514
Yelahanka,"9,090.91",0.02,9307
Yelahanka,"6,140.92",0.02,6287
Yelahanka,"6,000.00",0.02,6143
Yelahanka,"4,571.43",0.02,4680
Yelahanka,"7,802.05",0.02,7988
Yelahanka,"6,712.04",0.02,6872
Yelahanka,"5,390.84",0.02,5519
Yelahanka,"6,141.92",0.02,6288
Yelahanka,"7,007.77",0.02,7175
Yelahanka,"7,271.47",0.02,7445
Electronic City,"7,113.22",0.06,7560
Yelahanka,"6,712.23",0.02,6872
Yelahanka,"6,711.54",0.02,6871
Yelahanka,"6,054.17",0.02,6198
Yelahanka,"8,325.01",0.02,8523
Yelahanka,"6,428.57",0.02,6582
Hebbal,"15,178.57",0.04,15851
Yelahanka,"8,104.60",0.02,8297
Yelahanka,"5,428.85",0.02,5558
Yelahanka,"5,161.22",0.02,5284
Yelahanka,"7,792.21",0.02,7978
HSR Layout,"7,659.28",0.08,8266
Yelahanka,"8,851.12",0.02,9062
Yelahanka,"8,163.27",0.02,8358
Yelahanka,"7,895.70",0.02,8084
Electronic City,"4,168.67",0.06,4431
Yelahanka,"7,542.15",0.02,7722
Electronic City,"5,383.88",0.06,5722
Yelahanka,"5,581.40",0.02,5714
Yelahanka,"5,429.34",0.02,5559
BTM Layout,"7,066.05",0.04,7318
Yelahanka,"6,712.02",0.02,6872
Yelahanka,"6,740.99",0.02,6901
Yelahanka,"6,113.04",0.02,6259
HSR Layout,"12,142.86",0.08,13105
Electronic City,"4,761.90",0.06,5061
Yelahanka,"8,299.39",0.02,8497
Yelahanka,"6,122.45",0.02,6268
Yelahanka,"8,644.91",0.02,8851
Yelahanka,"4,784.05",0.02,4898
Yelahanka,"6,225.68",0.02,6374
Yelahanka,"7,269.65",0.02,7443
Yelahanka,"8,538.59",0.02,8742
Yelahanka,"6,779.66",0.02,6941
Yelahanka,"7,147.87",0.02,7318
Yelahanka,"8,147.75",0.02,8342
Yelahanka,"4,851.75",0.02,4967
Electronic City,"7,694.21",0.06,8178
Yelahanka,"7,215.83",0.02,7388
BTM Layout,"6,211.18",0.04,6432
Yelahanka,"8,408.57",0.02,8609
Yelahanka,"9,090.91",0.02,9307
Yelahanka,"6,547.62",0.02,6703
BTM Layout,"19,714.29",0.04,20416
Yelahanka,"5,428.57",0.02,5558
Yelahanka,"5,428.57",0.02,5558
Electronic City,"4,126.09",0.06,4385
Electronic City,"4,124.75",0.06,4384
Yelahanka,"5,429.02",0.02,5558
Yelahanka,"7,936.51",0.02,8125
Yelahanka,"8,231.55",0.02,8427
Yelahanka,"7,687.38",0.02,7870
Electronic City,"3,999.47",0.06,4251
Yelahanka,"8,631.85",0.02,8837
Yelahanka,"8,037.33",0.02,8229
Yelahanka,"8,106.77",0.02,8300
Yelahanka,"7,230.32",0.02,7402
Yelahanka,"5,550.64",0.02,5683
Hebbal,"14,450.87",0.04,15091
HSR Layout,"7,295.55",0.08,7874
Yelahanka,"7,343.95",0.02,7519
Yelahanka,"8,974.36",0.02,9188
Yelahanka,"8,587.48",0.02,8792
Yelahanka,"10,355.82",0.02,10602
Yelahanka,"7,983.82",0.02,8174
Electronic City,"4,142.86",0.06,4403
Yelahanka,"8,071.47",0.02,8264
Yelahanka,"8,290.82",0.02,8488
Yelahanka,"7,665.43",0.02,7848
Yelahanka,"6,171.43",0.02,6318
Yelahanka,"6,411.70",0.02,6564
Yelahanka,"7,607.69",0.02,7789
Electronic City,"6,390.98",0.06,6793
Yelahanka,"7,624.63",0.02,7806
Yelahanka,"4,433.50",0.02,4539
Yelahanka,"6,424.79",0.02,6578
Yelahanka,"8,407.94",0.02,8608
Electronic City,"7,334.43",0.06,7795
Yelahanka,"7,115.79",0.02,7285
Yelahanka,"8,238.85",0.02,8435
Yelahanka,"8,144.10",0.02,8338
Yelahanka,"10,059.08",0.02,10298
Electronic City,"4,155.56",0.06,4417
Yelahanka,"5,424.95",0.02,5554
Electronic City,"4,125.00",0.06,4384
Yelahanka,"6,712.50",0.02,6872
Yelahanka,"5,428.73",0.02,5558
Yelahanka,"4,503.40",0.02,4611
Yelahanka,"8,928.57",0.02,9141
Yelahanka,"6,348.73",0.02,6500
Yelahanka,"6,348.37",0.02,6499
Yelahanka,"7,142.86",0.02,7313
Yelahanka,"7,121.91",0.02,7291
Yelahanka,"8,994.71",0.02,9209
Electronic City,"7,548.84",0.06,8023
Yelahanka,"4,851.75",0.02,4967
Yelahanka,"9,622.96",0.02,9852
Yelahanka,"6,322.02",0.02,6472
Yelahanka,"7,907.22",0.02,8095
Electronic City,"7,339.45",0.06,7801
Yelahanka,"10,169.22",0.02,10411
Yelahanka,"5,884.74",0.02,6025
Yelahanka,"4,800.83",0.02,4915
Yelahanka,"7,505.18",0.02,7684
Yelahanka,"6,253.37",0.02,6402
Yelahanka,"8,239.51",0.02,8436
Yelahanka,"8,417.98",0.02,8618
Yelahanka,"8,365.02",0.02,8564
Yelahanka,"4,455.81",0.02,4562
Yelahanka,"6,093.91",0.02,6239
Electronic City,"4,125.41",0.06,4385
Yelahanka,"5,429.63",0.02,5559
Yelahanka,"6,151.74",0.02,6298
Yelahanka,"6,922.59",0.02,7087
Yelahanka,"9,261.40",0.02,9482
Yelahanka,"4,142.86",0.02,4241
Yelahanka,"5,429.02",0.02,5558
Yelahanka,"6,658.60",0.02,6817
Electronic City,"7,294.83",0.06,7753
Yelahanka,"8,794.68",0.02,9004
Yelahanka,"8,213.24",0.02,8409
Yelahanka,"6,132.40",0.02,6278
Yelahanka,"6,753.25",0.02,6914
Yelahanka,"8,163.27",0.02,8358
Yelahanka,"7,563.03",0.02,7743
Yelahanka,"7,416.33",0.02,7593
Yelahanka,"6,704.49",0.02,6864
Yelahanka,"16,806.72",0.02,17207
Electronic City,"9,327.73",0.06,9914
Yelahanka,"7,147.32",0.02,7317
Yelahanka,"7,440.48",0.02,7618
Yelahanka,"7,680.49",0.02,7863
Yelahanka,"8,163.27",0.02,8358
Yelahanka,"7,545.27",0.02,7725
Electronic City,"4,285.71",0.06,4555
Yelahanka,"7,327.51",0.02,7502
Yelahanka,"7,532.47",0.02,7712
Yelahanka,"5,149.50",0.02,5272
Yelahanka,"3,571.43",0.02,3656
Yelahanka,"6,285.71",0.02,6435
Yelahanka,"19,047.62",0.02,19501
Yelahanka,"6,161.09",0.02,6308
Yelahanka,"7,751.94",0.02,7936
Yelahanka,"6,857.14",0.02,7020
